,NumberOfQuizzesTaken,CourseCategory_Arts,CourseCategory_Business,CourseCategory_Programming,NumberOfVideosWatched,DeviceType,CourseCategory_Science,CourseCategory_Health,target
2129,8,1.0,0.0,0.0,3,0,0.0,0.0,0
2130,10,0.0,1.0,0.0,5,0,0.0,0.0,0
2131,4,1.0,0.0,0.0,16,1,0.0,0.0,0
2132,9,0.0,0.0,0.0,20,0,1.0,0.0,1
2133,5,0.0,1.0,0.0,18,0,0.0,0.0,1
2134,0,0.0,0.0,0.0,0,1,0.0,1.0,0
2135,8,1.0,0.0,0.0,2,0,0.0,0.0,1
2136,1,0.0,0.0,0.0,11,1,1.0,0.0,1
2137,7,0.0,0.0,0.0,1,1,0.0,1.0,1
2138,1,0.0,1.0,0.0,17,1,0.0,0.0,0
2139,3,0.0,0.0,0.0,5,0,0.0,1.0,0
2140,2,1.0,0.0,0.0,16,1,0.0,0.0,0
2142,10,1.0,0.0,0.0,13,1,0.0,0.0,1
2143,2,0.0,1.0,0.0,17,0,0.0,0.0,0
2144,5,0.0,1.0,0.0,15,1,0.0,0.0,1
2145,9,0.0,1.0,0.0,3,0,0.0,0.0,0
2146,9,0.0,0.0,1.0,12,0,0.0,0.0,1
2147,4,0.0,0.0,0.0,5,0,0.0,1.0,0
2149,6,0.0,0.0,0.0,14,1,0.0,1.0,1
2150,2,0.0,0.0,1.0,0,0,0.0,0.0,0
2151,0,0.0,0.0,0.0,2,0,1.0,0.0,1
2152,3,0.0,0.0,1.0,0,0,0.0,0.0,0
2153,4,0.0,0.0,1.0,2,1,0.0,0.0,0
2154,3,0.0,1.0,0.0,3,1,0.0,0.0,0
2155,9,0.0,1.0,0.0,4,0,0.0,0.0,1
2156,3,0.0,1.0,0.0,12,1,0.0,0.0,0
2157,6,0.0,0.0,0.0,7,1,1.0,0.0,0
2158,4,0.0,0.0,1.0,10,1,0.0,0.0,0
2159,2,0.0,1.0,0.0,18,1,0.0,0.0,0
2160,0,0.0,0.0,0.0,9,0,1.0,0.0,1
2161,4,0.0,0.0,1.0,5,0,0.0,0.0,1
2162,0,0.0,0.0,1.0,11,0,0.0,0.0,0
2164,0,1.0,0.0,0.0,17,0,0.0,0.0,0
2165,6,1.0,0.0,0.0,15,0,0.0,0.0,1
2166,7,0.0,1.0,0.0,1,0,0.0,0.0,0
2167,9,0.0,0.0,1.0,16,1,0.0,0.0,1
2168,9,0.0,0.0,0.0,3,0,0.0,1.0,1
2169,0,0.0,0.0,0.0,3,0,1.0,0.0,0
2170,10,0.0,0.0,0.0,20,1,0.0,1.0,0
2171,7,0.0,0.0,0.0,0,0,1.0,0.0,0
2172,1,0.0,0.0,0.0,17,1,1.0,0.0,1
2173,1,0.0,0.0,0.0,20,0,0.0,1.0,1
2174,0,0.0,0.0,1.0,10,0,0.0,0.0,0
2175,4,0.0,0.0,0.0,13,0,0.0,1.0,0
2176,7,0.0,0.0,1.0,20,0,0.0,0.0,1
2177,0,0.0,1.0,0.0,6,0,0.0,0.0,1
2178,0,0.0,0.0,0.0,18,1,0.0,1.0,0
2179,6,1.0,0.0,0.0,11,0,0.0,0.0,1
2180,2,0.0,0.0,0.0,12,1,0.0,1.0,1
2181,10,0.0,0.0,0.0,10,0,0.0,1.0,1
2182,3,0.0,1.0,0.0,5,1,0.0,0.0,0
2183,0,0.0,0.0,0.0,14,1,1.0,0.0,1
2184,6,0.0,0.0,0.0,11,1,1.0,0.0,0
2185,4,0.0,1.0,0.0,1,1,0.0,0.0,1
2186,2,0.0,1.0,0.0,17,0,0.0,0.0,0
2187,0,0.0,0.0,1.0,4,1,0.0,0.0,0
2188,2,0.0,0.0,1.0,11,1,0.0,0.0,0
2189,4,0.0,0.0,0.0,12,0,1.0,0.0,1
2190,5,0.0,0.0,0.0,8,0,1.0,0.0,1
2191,4,1.0,0.0,0.0,7,0,0.0,0.0,1
2192,4,0.0,0.0,0.0,2,1,0.0,1.0,0
2193,9,0.0,1.0,0.0,12,1,0.0,0.0,1
2194,7,0.0,0.0,0.0,8,0,1.0,0.0,1
2195,2,0.0,0.0,0.0,18,0,0.0,1.0,0
2196,2,0.0,0.0,0.0,6,0,1.0,0.0,0
2197,3,0.0,0.0,1.0,18,0,0.0,0.0,0
2198,2,0.0,0.0,1.0,14,0,0.0,0.0,1
2199,3,0.0,1.0,0.0,4,0,0.0,0.0,0
2200,6,1.0,0.0,0.0,0,0,0.0,0.0,0
2201,4,0.0,1.0,0.0,19,0,0.0,0.0,1
2202,5,0.0,1.0,0.0,16,1,0.0,0.0,1
2203,5,0.0,0.0,0.0,2,1,0.0,1.0,1
2204,7,0.0,1.0,0.0,15,1,0.0,0.0,1
2205,7,0.0,0.0,1.0,14,1,0.0,0.0,1
2206,3,1.0,0.0,0.0,18,0,0.0,0.0,1
2207,4,0.0,0.0,0.0,11,0,0.0,1.0,1
2208,8,0.0,1.0,0.0,11,0,0.0,0.0,1
2209,2,0.0,0.0,0.0,1,1,0.0,1.0,0
2210,5,0.0,0.0,1.0,10,1,0.0,0.0,1
2211,3,0.0,0.0,0.0,3,1,1.0,0.0,0
2212,7,0.0,0.0,1.0,14,1,0.0,0.0,1
2213,8,0.0,0.0,1.0,10,1,0.0,0.0,1
2214,6,0.0,0.0,1.0,5,1,0.0,0.0,0
2215,5,1.0,0.0,0.0,4,0,0.0,0.0,0
2216,3,0.0,1.0,0.0,13,1,0.0,0.0,1
2217,1,1.0,0.0,0.0,11,1,0.0,0.0,0
2218,3,0.0,1.0,0.0,0,1,0.0,0.0,0
2219,0,0.0,0.0,1.0,1,0,0.0,0.0,0
2220,10,1.0,0.0,0.0,13,0,0.0,0.0,1
2221,4,1.0,0.0,0.0,9,0,0.0,0.0,1
2222,6,0.0,1.0,0.0,10,0,0.0,0.0,0
2223,5,0.0,0.0,1.0,18,0,0.0,0.0,1
2224,10,0.0,0.0,0.0,15,1,0.0,1.0,1
2225,8,0.0,0.0,1.0,17,0,0.0,0.0,0
2226,1,0.0,0.0,1.0,15,1,0.0,0.0,0
2227,4,0.0,1.0,0.0,17,1,0.0,0.0,1
2228,6,0.0,0.0,0.0,7,1,1.0,0.0,0
2229,0,0.0,0.0,0.0,7,0,1.0,0.0,0
2230,8,1.0,0.0,0.0,10,1,0.0,0.0,0
2231,0,0.0,0.0,0.0,4,0,1.0,0.0,0
2232,10,0.0,0.0,1.0,19,1,0.0,0.0,0
2233,6,0.0,0.0,0.0,8,1,0.0,1.0,1
2234,7,1.0,0.0,0.0,20,1,0.0,0.0,1
2235,4,0.0,0.0,0.0,5,1,1.0,0.0,0
2236,8,0.0,0.0,0.0,13,0,0.0,1.0,1
2237,0,0.0,0.0,0.0,11,1,1.0,0.0,0
2238,5,0.0,0.0,0.0,15,1,1.0,0.0,1
2240,6,0.0,0.0,0.0,6,0,0.0,1.0,1
2241,0,0.0,0.0,0.0,4,0,0.0,1.0,1
2242,8,0.0,0.0,0.0,5,1,1.0,0.0,0
2243,8,1.0,0.0,0.0,6,0,0.0,0.0,1
2244,10,0.0,1.0,0.0,0,1,0.0,0.0,0
2245,10,0.0,0.0,0.0,0,0,1.0,0.0,0
2246,8,0.0,0.0,1.0,15,0,0.0,0.0,0
2247,1,0.0,0.0,0.0,7,0,0.0,1.0,1
2248,8,0.0,0.0,1.0,18,0,0.0,0.0,1
2249,2,0.0,0.0,0.0,4,0,0.0,1.0,0
2250,10,0.0,0.0,1.0,15,1,0.0,0.0,0
2251,8,0.0,1.0,0.0,18,1,0.0,0.0,0
2252,3,0.0,0.0,0.0,1,1,1.0,0.0,0
2253,5,0.0,0.0,0.0,9,0,0.0,1.0,0
2254,5,1.0,0.0,0.0,13,1,0.0,0.0,1
2255,0,0.0,0.0,0.0,5,0,1.0,0.0,0
2256,5,0.0,1.0,0.0,8,1,0.0,0.0,1
2257,3,0.0,0.0,0.0,3,0,0.0,1.0,0
2258,1,0.0,0.0,0.0,11,0,1.0,0.0,0
2259,5,0.0,0.0,1.0,9,0,0.0,0.0,1
2260,1,0.0,0.0,1.0,11,0,0.0,0.0,0
2261,5,0.0,1.0,0.0,18,0,0.0,0.0,1
2262,6,0.0,0.0,0.0,1,1,1.0,0.0,0
2263,3,0.0,0.0,0.0,1,0,0.0,1.0,0
2264,7,1.0,0.0,0.0,12,0,0.0,0.0,1
2265,8,0.0,0.0,0.0,6,0,0.0,1.0,0
2266,5,1.0,0.0,0.0,6,0,0.0,0.0,1
2267,5,0.0,0.0,0.0,15,0,1.0,0.0,0
2269,4,1.0,0.0,0.0,17,0,0.0,0.0,0
2270,9,1.0,0.0,0.0,4,1,0.0,0.0,0
2271,9,0.0,0.0,0.0,17,0,1.0,0.0,1
2272,6,0.0,0.0,0.0,13,0,0.0,1.0,1
2273,9,0.0,0.0,0.0,19,1,1.0,0.0,1
2274,4,0.0,1.0,0.0,10,0,0.0,0.0,1
2275,9,1.0,0.0,0.0,20,1,0.0,0.0,0
2276,8,0.0,0.0,1.0,1,0,0.0,0.0,1
2277,5,1.0,0.0,0.0,6,1,0.0,0.0,0
2278,8,0.0,1.0,0.0,8,1,0.0,0.0,1
2279,9,1.0,0.0,0.0,9,1,0.0,0.0,1
2280,1,0.0,0.0,1.0,16,1,0.0,0.0,0
2281,3,0.0,0.0,0.0,18,1,0.0,1.0,0
2282,1,1.0,0.0,0.0,6,0,0.0,0.0,0
2283,9,0.0,0.0,1.0,12,1,0.0,0.0,1
2284,5,0.0,1.0,0.0,11,1,0.0,0.0,0
2285,5,0.0,0.0,1.0,9,1,0.0,0.0,1
2286,8,0.0,1.0,0.0,12,0,0.0,0.0,0
2287,7,0.0,1.0,0.0,12,1,0.0,0.0,1
2288,5,0.0,0.0,1.0,8,0,0.0,0.0,1
2289,8,1.0,0.0,0.0,6,1,0.0,0.0,1
2290,5,0.0,0.0,0.0,18,0,1.0,0.0,1
2291,9,0.0,0.0,0.0,1,0,1.0,0.0,0
2292,0,1.0,0.0,0.0,16,0,0.0,0.0,0
2293,10,0.0,0.0,0.0,1,1,1.0,0.0,1
2294,6,1.0,0.0,0.0,6,1,0.0,0.0,1
2295,1,0.0,0.0,0.0,12,1,0.0,1.0,0
2296,2,1.0,0.0,0.0,11,0,0.0,0.0,0
2297,1,0.0,0.0,0.0,5,1,0.0,1.0,0
2298,9,0.0,0.0,1.0,13,1,0.0,0.0,1
2299,1,0.0,0.0,1.0,6,0,0.0,0.0,1
2300,8,1.0,0.0,0.0,15,0,0.0,0.0,1
2301,2,0.0,0.0,1.0,5,1,0.0,0.0,0
2302,9,0.0,0.0,1.0,14,0,0.0,0.0,1
2303,0,0.0,0.0,1.0,20,1,0.0,0.0,0
2304,6,0.0,0.0,0.0,11,0,1.0,0.0,1
2305,8,0.0,0.0,0.0,6,0,0.0,1.0,0
2306,0,0.0,1.0,0.0,12,0,0.0,0.0,0
2308,5,0.0,0.0,0.0,17,1,1.0,0.0,0
2309,9,0.0,1.0,0.0,10,0,0.0,0.0,1
2310,0,0.0,0.0,1.0,9,0,0.0,0.0,0
2311,9,1.0,0.0,0.0,3,1,0.0,0.0,1
2312,10,0.0,0.0,0.0,3,0,0.0,1.0,1
2313,4,0.0,0.0,0.0,20,1,1.0,0.0,1
2314,8,0.0,1.0,0.0,4,0,0.0,0.0,0
2315,9,0.0,1.0,0.0,16,1,0.0,0.0,1
2316,9,0.0,0.0,0.0,1,0,0.0,1.0,0
2318,3,0.0,0.0,0.0,16,0,1.0,0.0,0
2319,8,0.0,1.0,0.0,10,0,0.0,0.0,1
2320,5,1.0,0.0,0.0,19,1,0.0,0.0,0
2321,0,1.0,0.0,0.0,15,0,0.0,0.0,0
2322,0,1.0,0.0,0.0,9,1,0.0,0.0,1
2323,10,0.0,0.0,1.0,18,1,0.0,0.0,0
2324,7,0.0,0.0,0.0,5,0,1.0,0.0,0
2325,0,0.0,0.0,1.0,3,0,0.0,0.0,0
2326,7,0.0,0.0,0.0,5,0,1.0,0.0,0
2327,0,0.0,0.0,0.0,13,0,1.0,0.0,0
2328,0,0.0,0.0,0.0,1,0,1.0,0.0,0
2329,5,0.0,0.0,0.0,15,1,1.0,0.0,1
2330,2,0.0,1.0,0.0,15,1,0.0,0.0,0
2331,4,1.0,0.0,0.0,15,1,0.0,0.0,1
2332,7,0.0,0.0,0.0,7,0,0.0,1.0,1
2333,10,1.0,0.0,0.0,1,0,0.0,0.0,0
2334,1,0.0,0.0,0.0,7,0,1.0,0.0,1
2335,6,0.0,0.0,0.0,3,0,0.0,1.0,0
2336,6,0.0,1.0,0.0,18,1,0.0,0.0,1
2337,4,0.0,0.0,1.0,14,0,0.0,0.0,0
2338,5,1.0,0.0,0.0,1,1,0.0,0.0,0
2339,7,0.0,1.0,0.0,7,0,0.0,0.0,0
2340,2,0.0,0.0,1.0,20,1,0.0,0.0,0
2341,9,0.0,1.0,0.0,16,1,0.0,0.0,1
2342,7,0.0,1.0,0.0,8,0,0.0,0.0,1
2343,7,0.0,1.0,0.0,19,1,0.0,0.0,1
2344,8,0.0,0.0,0.0,2,1,1.0,0.0,0
2345,6,0.0,0.0,1.0,2,0,0.0,0.0,1
2346,4,0.0,1.0,0.0,10,0,0.0,0.0,1
2347,9,1.0,0.0,0.0,1,1,0.0,0.0,0
2349,9,0.0,0.0,0.0,1,0,0.0,1.0,0
2350,5,1.0,0.0,0.0,11,0,0.0,0.0,0
2351,5,0.0,0.0,0.0,15,0,0.0,1.0,0
2352,10,0.0,1.0,0.0,10,1,0.0,0.0,0
2353,8,0.0,0.0,0.0,8,0,1.0,0.0,1
2354,6,0.0,1.0,0.0,3,0,0.0,0.0,0
2355,1,0.0,1.0,0.0,16,1,0.0,0.0,1
2356,7,0.0,0.0,0.0,10,0,0.0,1.0,1
2357,8,0.0,0.0,1.0,20,1,0.0,0.0,1
2359,1,0.0,0.0,0.0,0,1,1.0,0.0,0
2360,5,0.0,0.0,0.0,19,1,1.0,0.0,0
2361,6,1.0,0.0,0.0,5,0,0.0,0.0,0
2362,3,0.0,0.0,0.0,11,1,1.0,0.0,0
2363,0,0.0,0.0,0.0,16,0,1.0,0.0,0
2364,4,0.0,1.0,0.0,19,0,0.0,0.0,1
2365,4,0.0,0.0,1.0,11,0,0.0,0.0,1
2366,9,0.0,0.0,0.0,20,1,1.0,0.0,0
2367,7,0.0,0.0,0.0,3,1,0.0,1.0,0
2368,8,0.0,0.0,0.0,13,1,0.0,1.0,0
2369,1,0.0,0.0,0.0,19,0,0.0,1.0,1
2370,4,0.0,0.0,1.0,4,0,0.0,0.0,0
2371,10,0.0,0.0,0.0,0,0,0.0,1.0,0
2373,8,0.0,0.0,0.0,5,1,0.0,1.0,0
2374,9,0.0,0.0,1.0,16,0,0.0,0.0,1
2375,5,1.0,0.0,0.0,14,1,0.0,0.0,0
2376,0,1.0,0.0,0.0,1,1,0.0,0.0,0
2377,6,1.0,0.0,0.0,20,1,0.0,0.0,1
2378,0,0.0,1.0,0.0,12,0,0.0,0.0,1
2379,2,1.0,0.0,0.0,0,0,0.0,0.0,0
2380,4,1.0,0.0,0.0,13,1,0.0,0.0,1
2382,7,1.0,0.0,0.0,13,0,0.0,0.0,1
2383,7,0.0,0.0,1.0,19,1,0.0,0.0,1
2384,8,1.0,0.0,0.0,8,1,0.0,0.0,1
2385,0,0.0,1.0,0.0,18,1,0.0,0.0,1
2386,7,0.0,0.0,1.0,16,1,0.0,0.0,1
2387,2,1.0,0.0,0.0,20,0,0.0,0.0,0
2388,7,0.0,0.0,1.0,12,1,0.0,0.0,1
2389,9,0.0,0.0,0.0,5,1,1.0,0.0,0
2390,2,0.0,0.0,0.0,14,1,1.0,0.0,0
2391,2,0.0,1.0,0.0,1,0,0.0,0.0,0
2392,0,0.0,0.0,0.0,7,1,0.0,1.0,0
2393,0,1.0,0.0,0.0,7,1,0.0,0.0,0
2394,7,0.0,0.0,1.0,7,1,0.0,0.0,1
2395,1,0.0,0.0,0.0,8,1,1.0,0.0,0
2396,4,0.0,0.0,1.0,19,1,0.0,0.0,0
2397,8,0.0,0.0,1.0,13,0,0.0,0.0,0
2398,6,1.0,0.0,0.0,8,1,0.0,0.0,1
2399,9,0.0,0.0,0.0,16,0,0.0,1.0,1
2401,6,0.0,0.0,0.0,20,0,1.0,0.0,1
2402,10,0.0,1.0,0.0,14,1,0.0,0.0,1
2403,9,0.0,0.0,0.0,2,0,0.0,1.0,1
2404,7,0.0,0.0,0.0,7,1,1.0,0.0,1
2405,6,0.0,0.0,0.0,8,0,1.0,0.0,1
2406,0,0.0,0.0,0.0,13,0,1.0,0.0,0
2407,10,0.0,0.0,1.0,8,1,0.0,0.0,1
2408,5,0.0,0.0,0.0,10,1,1.0,0.0,0
2409,3,0.0,1.0,0.0,11,1,0.0,0.0,0
2410,2,0.0,0.0,0.0,10,0,0.0,1.0,0
2411,2,1.0,0.0,0.0,19,1,0.0,0.0,1
2412,10,1.0,0.0,0.0,16,0,0.0,0.0,1
2413,7,0.0,0.0,0.0,0,1,0.0,1.0,0
2414,9,1.0,0.0,0.0,4,1,0.0,0.0,0
2415,1,1.0,0.0,0.0,13,0,0.0,0.0,0
2416,6,0.0,0.0,0.0,8,0,1.0,0.0,0
2417,9,0.0,0.0,0.0,11,0,0.0,1.0,0
2418,7,0.0,1.0,0.0,10,1,0.0,0.0,1
2419,3,0.0,1.0,0.0,20,1,0.0,0.0,0
2420,8,0.0,1.0,0.0,9,1,0.0,0.0,1
2421,9,1.0,0.0,0.0,5,0,0.0,0.0,0
2422,6,1.0,0.0,0.0,12,1,0.0,0.0,1
2423,1,1.0,0.0,0.0,6,0,0.0,0.0,0
2424,0,0.0,0.0,1.0,11,0,0.0,0.0,0
2425,2,0.0,0.0,1.0,15,0,0.0,0.0,1
2426,7,1.0,0.0,0.0,14,1,0.0,0.0,1
2427,7,0.0,0.0,0.0,7,0,0.0,1.0,1
2428,8,0.0,0.0,1.0,14,1,0.0,0.0,0
2429,9,0.0,1.0,0.0,20,0,0.0,0.0,1
2430,8,0.0,0.0,1.0,3,0,0.0,0.0,0
2431,9,0.0,0.0,0.0,7,1,1.0,0.0,1
2432,3,0.0,1.0,0.0,4,0,0.0,0.0,0
2433,5,0.0,1.0,0.0,15,0,0.0,0.0,1
2434,5,0.0,0.0,1.0,16,1,0.0,0.0,1
2435,1,0.0,0.0,0.0,19,1,1.0,0.0,0
2436,3,0.0,0.0,0.0,14,0,1.0,0.0,0
2437,5,0.0,0.0,0.0,4,0,1.0,0.0,0
2438,4,0.0,1.0,0.0,4,0,0.0,0.0,0
2439,6,0.0,1.0,0.0,3,1,0.0,0.0,0
2440,4,0.0,0.0,0.0,10,0,0.0,1.0,1
2441,6,0.0,0.0,1.0,2,1,0.0,0.0,0
2442,6,0.0,0.0,0.0,3,0,0.0,1.0,0
2443,0,1.0,0.0,0.0,18,0,0.0,0.0,0
2444,2,0.0,0.0,1.0,17,0,0.0,0.0,0
2445,6,0.0,1.0,0.0,9,1,0.0,0.0,0
2446,10,0.0,1.0,0.0,9,0,0.0,0.0,1
2447,8,0.0,0.0,0.0,5,1,0.0,1.0,1
2448,10,0.0,1.0,0.0,11,0,0.0,0.0,1
2449,8,0.0,1.0,0.0,5,1,0.0,0.0,1
2450,8,0.0,0.0,0.0,15,0,1.0,0.0,1
2451,7,0.0,1.0,0.0,16,0,0.0,0.0,1
2452,8,0.0,1.0,0.0,10,1,0.0,0.0,1
2453,8,0.0,0.0,1.0,10,0,0.0,0.0,0
2454,1,1.0,0.0,0.0,2,1,0.0,0.0,0
2455,4,0.0,0.0,0.0,3,0,1.0,0.0,0
2456,8,0.0,0.0,1.0,11,0,0.0,0.0,0
2457,7,0.0,1.0,0.0,5,1,0.0,0.0,0
2458,6,0.0,0.0,1.0,12,0,0.0,0.0,1
2459,6,1.0,0.0,0.0,15,1,0.0,0.0,0
2460,4,0.0,0.0,0.0,6,0,0.0,1.0,1
2461,9,0.0,0.0,1.0,2,1,0.0,0.0,0
2462,0,0.0,1.0,0.0,8,0,0.0,0.0,0
2463,5,0.0,1.0,0.0,4,0,0.0,0.0,0
2464,2,0.0,0.0,0.0,4,0,1.0,0.0,0
2465,4,0.0,0.0,1.0,14,0,0.0,0.0,1
2466,9,0.0,0.0,0.0,8,1,0.0,1.0,0
2467,1,1.0,0.0,0.0,3,1,0.0,0.0,0
2468,1,0.0,0.0,1.0,19,1,0.0,0.0,0
2469,1,1.0,0.0,0.0,15,0,0.0,0.0,0
2470,5,0.0,1.0,0.0,12,1,0.0,0.0,1
2471,5,0.0,0.0,1.0,3,1,0.0,0.0,0
2472,3,0.0,0.0,0.0,13,0,0.0,1.0,0
2473,5,0.0,1.0,0.0,9,0,0.0,0.0,1
2474,3,0.0,0.0,1.0,19,1,0.0,0.0,0
2475,5,0.0,0.0,0.0,13,1,1.0,0.0,1
2476,1,0.0,1.0,0.0,18,1,0.0,0.0,1
2477,8,1.0,0.0,0.0,3,1,0.0,0.0,0
2478,7,0.0,0.0,0.0,17,0,1.0,0.0,0
2479,5,0.0,1.0,0.0,9,0,0.0,0.0,0
2480,7,1.0,0.0,0.0,11,1,0.0,0.0,1
2481,7,0.0,0.0,0.0,1,0,1.0,0.0,1
2482,7,0.0,0.0,0.0,2,0,1.0,0.0,1
2483,10,1.0,0.0,0.0,4,0,0.0,0.0,0
2484,7,0.0,0.0,1.0,17,0,0.0,0.0,1
2485,9,0.0,0.0,1.0,6,1,0.0,0.0,1
2486,10,0.0,0.0,0.0,5,1,1.0,0.0,0
2487,7,0.0,1.0,0.0,18,1,0.0,0.0,1
2488,3,0.0,0.0,1.0,0,0,0.0,0.0,0
2490,7,0.0,0.0,1.0,2,0,0.0,0.0,0
2491,3,0.0,0.0,0.0,12,1,1.0,0.0,0
2492,4,0.0,0.0,1.0,6,0,0.0,0.0,1
2493,3,0.0,0.0,0.0,4,0,0.0,1.0,0
2494,0,0.0,0.0,0.0,4,0,0.0,1.0,0
2495,7,1.0,0.0,0.0,18,1,0.0,0.0,1
2496,5,0.0,1.0,0.0,8,1,0.0,0.0,1
2497,7,0.0,0.0,0.0,11,0,1.0,0.0,1
2498,6,1.0,0.0,0.0,0,1,0.0,0.0,0
2499,9,0.0,0.0,1.0,9,1,0.0,0.0,1
2500,6,0.0,1.0,0.0,9,1,0.0,0.0,1
2502,7,1.0,0.0,0.0,20,0,0.0,0.0,1
2504,5,0.0,0.0,0.0,3,0,1.0,0.0,0
2505,10,0.0,0.0,0.0,10,0,1.0,0.0,0
2506,10,0.0,1.0,0.0,1,0,0.0,0.0,0
2508,0,0.0,0.0,1.0,18,1,0.0,0.0,0
2509,1,0.0,1.0,0.0,2,0,0.0,0.0,0
2510,3,0.0,0.0,0.0,11,0,0.0,1.0,0
2511,7,0.0,0.0,0.0,15,0,1.0,0.0,1
2512,8,1.0,0.0,0.0,7,1,0.0,0.0,1
2513,6,0.0,0.0,0.0,4,1,0.0,1.0,0
2514,1,0.0,0.0,0.0,0,1,0.0,1.0,0
2515,5,1.0,0.0,0.0,8,0,0.0,0.0,1
2516,6,0.0,0.0,0.0,7,1,1.0,0.0,0
2517,7,0.0,1.0,0.0,10,0,0.0,0.0,1
2518,6,0.0,1.0,0.0,16,0,0.0,0.0,1
2519,6,1.0,0.0,0.0,6,0,0.0,0.0,1
2520,1,0.0,0.0,0.0,19,1,1.0,0.0,0
2521,2,1.0,0.0,0.0,3,1,0.0,0.0,0
2522,1,1.0,0.0,0.0,12,0,0.0,0.0,0
2523,7,1.0,0.0,0.0,10,0,0.0,0.0,0
2525,0,0.0,0.0,0.0,1,1,1.0,0.0,0
2526,2,0.0,0.0,0.0,15,1,1.0,0.0,1
2527,0,0.0,0.0,0.0,11,0,0.0,1.0,0
2528,3,1.0,0.0,0.0,8,1,0.0,0.0,1
2529,1,0.0,0.0,1.0,4,1,0.0,0.0,1
2530,5,0.0,0.0,1.0,2,1,0.0,0.0,0
2531,3,0.0,0.0,1.0,13,0,0.0,0.0,1
2532,8,0.0,0.0,1.0,8,1,0.0,0.0,1
2533,2,0.0,0.0,0.0,18,0,1.0,0.0,0
2534,6,0.0,1.0,0.0,12,1,0.0,0.0,0
2535,1,0.0,0.0,0.0,2,1,1.0,0.0,0
2536,0,0.0,0.0,0.0,7,1,1.0,0.0,0
2537,1,0.0,1.0,0.0,20,1,0.0,0.0,0
2538,2,1.0,0.0,0.0,11,1,0.0,0.0,0
2539,3,0.0,0.0,0.0,6,1,1.0,0.0,0
2540,0,1.0,0.0,0.0,14,0,0.0,0.0,0
2541,9,0.0,0.0,0.0,0,0,1.0,0.0,0
2542,2,0.0,1.0,0.0,6,0,0.0,0.0,0
2543,0,0.0,0.0,0.0,13,1,0.0,1.0,1
2544,8,1.0,0.0,0.0,10,0,0.0,0.0,0
2545,5,0.0,1.0,0.0,13,0,0.0,0.0,1
2546,1,1.0,0.0,0.0,12,0,0.0,0.0,1
2547,8,0.0,0.0,1.0,11,1,0.0,0.0,1
2548,0,0.0,1.0,0.0,4,0,0.0,0.0,0
2549,8,0.0,0.0,1.0,2,0,0.0,0.0,0
2550,2,0.0,0.0,0.0,3,1,0.0,1.0,1
2551,2,0.0,1.0,0.0,2,1,0.0,0.0,0
2552,9,0.0,0.0,0.0,7,1,0.0,1.0,1
2553,5,0.0,1.0,0.0,19,1,0.0,0.0,1
2554,2,0.0,1.0,0.0,11,1,0.0,0.0,0
2556,2,0.0,0.0,1.0,11,1,0.0,0.0,1
2557,5,0.0,1.0,0.0,0,1,0.0,0.0,1
2558,3,0.0,0.0,0.0,12,0,1.0,0.0,0
2559,2,0.0,0.0,0.0,1,1,0.0,1.0,0
2561,8,0.0,0.0,0.0,1,0,1.0,0.0,0
2562,7,1.0,0.0,0.0,17,0,0.0,0.0,1
2563,0,0.0,1.0,0.0,20,0,0.0,0.0,0
2564,5,1.0,0.0,0.0,19,0,0.0,0.0,1
2565,10,0.0,1.0,0.0,9,1,0.0,0.0,1
2566,8,0.0,0.0,1.0,10,0,0.0,0.0,0
2567,7,0.0,1.0,0.0,14,1,0.0,0.0,1
2568,8,0.0,0.0,0.0,0,0,1.0,0.0,0
2569,3,1.0,0.0,0.0,4,1,0.0,0.0,0
2570,5,0.0,1.0,0.0,16,1,0.0,0.0,1
2571,4,0.0,0.0,0.0,6,1,0.0,1.0,1
2573,1,0.0,1.0,0.0,19,0,0.0,0.0,0
2574,4,0.0,0.0,0.0,2,1,1.0,0.0,0
2575,5,0.0,0.0,0.0,18,0,1.0,0.0,1
2576,2,0.0,0.0,0.0,12,1,0.0,1.0,1
2577,8,0.0,1.0,0.0,19,0,0.0,0.0,1
2578,6,0.0,0.0,1.0,15,1,0.0,0.0,0
2579,5,0.0,0.0,0.0,4,1,0.0,1.0,0
2580,8,0.0,0.0,0.0,8,0,1.0,0.0,1
2582,2,0.0,1.0,0.0,2,1,0.0,0.0,0
2583,3,0.0,1.0,0.0,8,1,0.0,0.0,0
2584,3,1.0,0.0,0.0,10,1,0.0,0.0,0
2585,10,1.0,0.0,0.0,4,0,0.0,0.0,0
2586,6,0.0,0.0,0.0,13,1,1.0,0.0,1
2587,5,0.0,0.0,1.0,17,1,0.0,0.0,0
2588,7,0.0,1.0,0.0,13,0,0.0,0.0,1
2589,0,0.0,1.0,0.0,19,1,0.0,0.0,0
2590,4,0.0,0.0,0.0,3,1,0.0,1.0,0
2591,9,0.0,0.0,0.0,3,1,1.0,0.0,0
2592,9,0.0,0.0,0.0,17,1,0.0,1.0,1
2593,5,0.0,0.0,0.0,4,1,1.0,0.0,0
2594,9,0.0,1.0,0.0,12,1,0.0,0.0,0
2595,8,0.0,0.0,1.0,6,0,0.0,0.0,1
2596,10,0.0,0.0,0.0,17,0,0.0,1.0,0
2597,6,0.0,0.0,0.0,4,1,0.0,1.0,0
