Extracurricular Activities_Yes,Previous Scores,Hours Studied,Sample Question Papers Practiced,Sleep Hours,Extracurricular Activities_No,target
1.0,72,4,3,5,0.0,56.0
0.0,85,4,5,7,1.0,66.0
1.0,56,6,5,5,0.0,41.0
1.0,58,9,2,5,0.0,54.0
0.0,69,5,7,9,1.0,57.0
1.0,62,9,4,8,0.0,62.0
0.0,54,4,9,4,1.0,38.0
1.0,96,3,1,7,0.0,72.0
0.0,53,1,9,5,1.0,28.0
1.0,41,6,0,6,0.0,28.0
1.0,78,6,6,8,0.0,67.0
0.0,88,1,9,5,1.0,62.0
0.0,57,3,2,9,1.0,36.0
0.0,45,5,2,7,1.0,33.0
0.0,98,3,2,7,1.0,74.0
1.0,71,3,9,5,0.0,52.0
1.0,60,3,2,8,0.0,38.0
1.0,79,5,1,4,0.0,62.0
0.0,67,5,5,4,1.0,50.0
1.0,66,4,9,7,0.0,48.0
1.0,41,1,2,8,0.0,15.0
0.0,72,5,0,7,1.0,51.0
1.0,55,5,9,4,0.0,37.0
1.0,78,4,8,7,0.0,59.0
0.0,61,6,5,5,1.0,46.0
1.0,95,4,5,9,0.0,78.0
0.0,82,7,9,5,1.0,74.0
0.0,86,7,8,9,1.0,78.0
1.0,52,2,1,8,0.0,27.0
1.0,95,3,9,4,0.0,74.0
1.0,41,1,8,8,0.0,15.0
0.0,53,8,2,8,1.0,46.0
0.0,95,9,2,4,1.0,90.0
1.0,77,4,2,6,0.0,58.0
1.0,80,6,0,6,0.0,65.0
0.0,67,9,9,7,1.0,65.0
1.0,46,6,6,6,0.0,36.0
1.0,57,9,9,5,0.0,52.0
0.0,95,4,6,9,1.0,79.0
1.0,80,8,1,8,0.0,74.0
1.0,94,9,5,7,0.0,93.0
1.0,75,4,3,8,0.0,57.0
1.0,80,5,6,4,0.0,65.0
0.0,75,8,6,6,1.0,69.0
0.0,83,6,3,4,1.0,71.0
0.0,43,7,2,7,1.0,31.0
0.0,96,3,6,9,1.0,78.0
1.0,69,7,8,5,0.0,60.0
1.0,63,8,3,6,0.0,58.0
1.0,59,6,5,4,0.0,46.0
1.0,85,9,6,9,0.0,87.0
1.0,70,9,2,8,0.0,69.0
1.0,63,4,4,5,0.0,46.0
0.0,46,8,0,9,1.0,41.0
0.0,65,4,5,6,1.0,50.0
0.0,52,2,4,5,1.0,24.0
1.0,93,9,6,9,0.0,97.0
0.0,47,5,8,8,1.0,35.0
1.0,94,4,3,8,0.0,82.0
1.0,44,2,8,4,0.0,24.0
0.0,83,1,5,7,1.0,59.0
0.0,52,7,4,4,1.0,42.0
0.0,68,6,1,5,1.0,56.0
1.0,59,2,0,4,0.0,30.0
1.0,53,8,7,9,0.0,49.0
1.0,71,4,5,6,0.0,56.0
0.0,99,8,6,9,1.0,98.0
1.0,89,7,5,4,0.0,79.0
1.0,66,5,9,7,0.0,54.0
1.0,95,8,6,9,0.0,93.0
1.0,64,9,8,9,0.0,63.0
0.0,91,5,4,9,1.0,76.0
1.0,43,5,0,7,0.0,27.0
0.0,60,2,0,9,1.0,35.0
0.0,57,5,8,5,1.0,39.0
1.0,78,3,4,8,0.0,59.0
1.0,54,7,1,7,0.0,50.0
0.0,92,5,2,5,1.0,77.0
1.0,77,8,0,7,0.0,70.0
0.0,87,1,5,7,1.0,62.0
1.0,91,3,5,8,0.0,71.0
1.0,63,3,2,6,0.0,39.0
0.0,47,9,2,5,1.0,41.0
1.0,67,5,6,7,0.0,51.0
0.0,60,9,0,7,1.0,52.0
0.0,55,9,4,4,1.0,49.0
1.0,99,1,2,9,0.0,76.0
0.0,93,2,4,6,1.0,71.0
1.0,55,5,3,8,0.0,42.0
1.0,74,4,5,5,0.0,60.0
1.0,56,9,8,7,0.0,53.0
0.0,48,7,1,9,1.0,40.0
1.0,96,6,9,5,0.0,85.0
1.0,74,7,7,8,0.0,70.0
0.0,91,1,1,6,1.0,63.0
0.0,68,1,3,4,1.0,42.0
0.0,78,8,8,6,1.0,73.0
0.0,57,2,3,4,1.0,35.0
1.0,51,9,6,5,0.0,48.0
1.0,58,7,4,6,0.0,49.0
1.0,87,6,1,6,0.0,75.0
1.0,61,1,7,6,0.0,35.0
0.0,98,1,9,8,1.0,70.0
0.0,95,2,9,5,1.0,71.0
1.0,88,6,1,4,0.0,74.0
0.0,91,6,2,6,1.0,77.0
0.0,54,2,9,5,1.0,30.0
0.0,40,1,6,9,1.0,13.0
0.0,47,5,9,8,1.0,35.0
1.0,61,2,2,9,0.0,40.0
1.0,64,6,1,5,0.0,55.0
0.0,41,9,5,4,1.0,37.0
0.0,90,2,9,5,1.0,64.0
1.0,48,2,0,5,0.0,23.0
1.0,48,3,7,7,0.0,27.0
0.0,52,7,4,8,1.0,42.0
0.0,45,6,4,4,1.0,34.0
1.0,54,8,6,9,0.0,50.0
0.0,90,6,4,5,1.0,75.0
0.0,92,3,7,9,1.0,74.0
0.0,54,3,4,8,1.0,39.0
0.0,89,1,8,7,1.0,63.0
0.0,46,7,4,7,1.0,36.0
0.0,97,5,2,4,1.0,84.0
0.0,50,4,1,5,1.0,30.0
0.0,79,4,4,4,1.0,60.0
1.0,77,4,9,7,0.0,61.0
1.0,79,6,9,7,0.0,70.0
1.0,41,8,4,4,0.0,32.0
0.0,90,8,5,7,1.0,87.0
1.0,87,5,1,6,0.0,72.0
1.0,78,6,4,8,0.0,68.0
1.0,49,4,0,5,0.0,29.0
1.0,83,9,2,8,0.0,78.0
1.0,56,8,2,5,0.0,45.0
0.0,46,1,2,7,1.0,20.0
1.0,93,2,2,4,0.0,66.0
0.0,79,9,7,4,1.0,77.0
1.0,43,3,5,5,0.0,26.0
0.0,74,8,5,7,1.0,67.0
1.0,90,1,0,5,0.0,67.0
0.0,86,4,0,7,1.0,68.0
0.0,75,3,2,7,1.0,56.0
1.0,70,6,7,7,0.0,61.0
0.0,64,7,5,4,1.0,50.0
0.0,80,4,3,5,1.0,68.0
0.0,52,7,4,9,1.0,47.0
0.0,57,9,9,7,1.0,56.0
0.0,60,2,2,8,1.0,40.0
0.0,87,3,5,8,1.0,68.0
0.0,40,5,5,4,1.0,26.0
0.0,75,3,5,6,1.0,55.0
1.0,89,8,8,9,0.0,84.0
0.0,47,8,9,4,1.0,40.0
1.0,91,8,7,6,0.0,85.0
1.0,87,9,5,4,0.0,85.0
0.0,60,4,1,8,1.0,40.0
0.0,82,5,3,7,1.0,68.0
1.0,91,5,5,5,0.0,74.0
1.0,92,8,8,7,0.0,90.0
1.0,92,7,1,8,0.0,82.0
0.0,60,9,5,5,1.0,57.0
0.0,66,8,9,6,1.0,61.0
0.0,58,2,9,6,1.0,38.0
1.0,62,4,9,8,0.0,46.0
0.0,90,6,6,5,1.0,80.0
0.0,89,2,7,7,1.0,67.0
0.0,90,7,8,8,1.0,84.0
0.0,82,3,4,6,1.0,58.0
1.0,74,3,8,8,0.0,55.0
0.0,79,2,8,7,1.0,57.0
1.0,90,6,1,9,0.0,80.0
0.0,81,1,7,9,1.0,54.0
1.0,87,1,4,9,0.0,64.0
1.0,44,7,7,4,0.0,33.0
0.0,91,8,1,7,1.0,83.0
1.0,80,5,6,5,0.0,66.0
0.0,47,5,4,8,1.0,33.0
1.0,50,4,3,7,0.0,31.0
0.0,78,6,5,6,1.0,66.0
1.0,86,3,4,9,0.0,67.0
0.0,63,9,5,9,1.0,64.0
0.0,60,7,8,7,1.0,52.0
0.0,91,1,0,9,1.0,68.0
0.0,62,7,0,9,1.0,58.0
1.0,88,5,5,7,0.0,72.0
0.0,77,5,1,7,1.0,65.0
1.0,86,2,7,4,0.0,65.0
0.0,47,4,6,4,1.0,24.0
1.0,46,6,5,9,0.0,35.0
1.0,41,7,3,7,0.0,34.0
1.0,69,5,8,7,0.0,57.0
1.0,52,9,6,9,0.0,54.0
0.0,62,3,6,5,1.0,42.0
0.0,68,1,4,6,1.0,39.0
1.0,77,4,0,8,0.0,62.0
0.0,59,4,7,9,1.0,42.0
1.0,72,2,4,8,0.0,52.0
1.0,68,5,1,4,0.0,54.0
0.0,89,3,4,4,1.0,68.0
1.0,54,9,7,5,0.0,50.0
1.0,62,4,3,9,0.0,46.0
0.0,81,6,2,4,1.0,68.0
1.0,42,2,4,9,0.0,19.0
0.0,76,6,6,9,1.0,68.0
0.0,95,3,1,7,1.0,74.0
0.0,68,9,0,6,1.0,63.0
0.0,84,2,4,6,1.0,60.0
1.0,47,9,6,9,0.0,47.0
0.0,61,5,7,6,1.0,47.0
0.0,92,8,7,6,1.0,87.0
1.0,68,2,9,8,0.0,45.0
0.0,41,6,8,8,1.0,31.0
1.0,80,3,0,7,0.0,61.0
0.0,88,5,6,5,1.0,73.0
0.0,89,1,7,4,1.0,65.0
0.0,84,5,5,8,1.0,69.0
1.0,40,3,9,9,0.0,20.0
1.0,83,4,3,6,0.0,66.0
1.0,59,2,6,7,0.0,38.0
0.0,91,9,2,5,1.0,81.0
0.0,60,3,1,8,1.0,39.0
0.0,76,2,5,9,1.0,53.0
1.0,47,9,1,7,0.0,44.0
0.0,66,7,5,9,1.0,58.0
1.0,86,6,9,7,0.0,79.0
1.0,98,1,2,8,0.0,75.0
1.0,74,5,1,7,0.0,59.0
0.0,45,3,7,6,1.0,23.0
0.0,84,4,3,5,1.0,65.0
0.0,83,2,6,7,1.0,60.0
1.0,58,2,7,4,0.0,32.0
1.0,57,3,8,7,0.0,38.0
0.0,95,8,9,9,1.0,91.0
0.0,40,8,7,8,1.0,34.0
0.0,64,7,3,4,1.0,46.0
1.0,66,6,1,8,0.0,55.0
0.0,46,9,9,9,1.0,43.0
1.0,83,4,4,5,0.0,67.0
1.0,81,1,6,6,0.0,56.0
1.0,68,8,1,5,0.0,58.0
1.0,70,7,3,4,0.0,60.0
1.0,83,7,5,9,0.0,77.0
1.0,82,3,7,9,0.0,69.0
1.0,75,4,9,6,0.0,60.0
0.0,58,9,5,7,1.0,52.0
0.0,45,6,5,4,1.0,36.0
0.0,64,5,5,6,1.0,49.0
1.0,70,3,3,8,0.0,50.0
1.0,48,9,2,6,0.0,48.0
0.0,59,5,0,8,1.0,43.0
1.0,49,5,1,8,0.0,34.0
1.0,76,4,1,9,0.0,57.0
1.0,66,4,9,6,0.0,50.0
1.0,52,1,6,9,0.0,28.0
1.0,80,7,5,9,0.0,72.0
1.0,41,9,7,5,0.0,38.0
1.0,89,3,8,5,0.0,68.0
1.0,63,1,3,8,0.0,36.0
1.0,92,6,7,9,0.0,80.0
1.0,83,7,2,4,0.0,73.0
1.0,73,8,6,4,0.0,67.0
1.0,99,6,3,5,0.0,91.0
0.0,48,4,7,4,1.0,34.0
0.0,41,5,0,7,1.0,23.0
0.0,94,8,7,7,1.0,86.0
1.0,95,3,4,5,0.0,73.0
1.0,69,3,1,4,0.0,49.0
0.0,61,4,0,6,1.0,43.0
0.0,85,1,5,5,1.0,61.0
0.0,50,9,8,7,1.0,45.0
1.0,94,8,8,5,0.0,85.0
1.0,82,8,8,4,0.0,75.0
0.0,56,6,3,4,1.0,44.0
1.0,75,7,5,4,0.0,66.0
1.0,52,6,9,8,0.0,45.0
0.0,46,9,5,4,1.0,40.0
0.0,55,3,4,9,1.0,38.0
0.0,72,3,1,7,1.0,50.0
1.0,84,3,6,7,0.0,67.0
1.0,40,3,0,8,0.0,21.0
1.0,50,9,5,7,0.0,51.0
1.0,45,4,4,7,0.0,25.0
1.0,59,7,4,5,0.0,53.0
0.0,74,9,7,4,1.0,71.0
1.0,83,7,8,9,0.0,77.0
1.0,76,9,6,9,0.0,75.0
0.0,80,3,9,5,1.0,60.0
0.0,65,4,7,9,1.0,49.0
0.0,97,8,1,5,1.0,87.0
0.0,51,6,1,9,1.0,40.0
1.0,69,5,7,7,0.0,56.0
1.0,67,4,5,6,0.0,49.0
0.0,66,8,7,4,1.0,59.0
1.0,81,1,8,6,0.0,59.0
0.0,58,9,8,7,1.0,54.0
1.0,44,1,5,8,0.0,17.0
1.0,97,8,7,5,0.0,90.0
1.0,44,4,1,9,0.0,23.0
0.0,80,9,7,9,1.0,82.0
0.0,66,5,2,7,1.0,49.0
1.0,67,3,0,9,0.0,50.0
1.0,65,9,6,7,0.0,60.0
0.0,66,9,0,6,1.0,60.0
0.0,91,4,0,8,1.0,74.0
1.0,88,4,0,5,0.0,71.0
1.0,81,8,3,9,0.0,77.0
0.0,60,2,3,8,1.0,34.0
1.0,40,9,9,8,0.0,39.0
0.0,93,6,5,8,1.0,85.0
0.0,67,9,9,4,1.0,64.0
1.0,87,8,2,8,0.0,87.0
1.0,97,7,9,7,0.0,91.0
1.0,97,1,5,4,0.0,73.0
0.0,54,3,6,4,1.0,34.0
0.0,94,2,0,8,1.0,70.0
0.0,56,5,5,9,1.0,42.0
1.0,65,5,9,9,0.0,55.0
1.0,59,5,0,9,0.0,45.0
0.0,64,4,6,9,1.0,49.0
0.0,52,5,9,7,1.0,37.0
1.0,72,3,4,9,0.0,55.0
0.0,64,1,9,5,1.0,38.0
1.0,47,5,3,8,0.0,35.0
1.0,44,9,0,4,0.0,41.0
0.0,45,9,8,5,1.0,43.0
0.0,62,4,6,9,1.0,46.0
0.0,91,3,1,5,1.0,69.0
0.0,69,1,3,4,1.0,37.0
0.0,53,2,3,9,1.0,31.0
1.0,93,8,7,5,0.0,90.0
0.0,62,1,1,7,1.0,33.0
1.0,50,8,4,7,0.0,44.0
0.0,70,7,9,8,1.0,62.0
0.0,45,8,7,8,1.0,41.0
0.0,52,9,3,4,1.0,45.0
0.0,51,3,4,7,1.0,34.0
0.0,93,4,1,6,1.0,72.0
1.0,41,6,4,8,0.0,29.0
0.0,92,8,2,7,1.0,83.0
0.0,74,5,2,9,1.0,61.0
0.0,94,3,6,5,1.0,75.0
0.0,75,6,2,7,1.0,63.0
1.0,56,4,3,7,0.0,36.0
1.0,67,9,6,5,0.0,62.0
1.0,67,3,2,8,0.0,49.0
1.0,61,4,9,8,0.0,46.0
1.0,77,7,9,6,0.0,69.0
1.0,46,7,1,6,0.0,35.0
0.0,54,4,9,8,1.0,38.0
0.0,71,6,6,8,1.0,62.0
1.0,50,3,4,8,0.0,30.0
0.0,63,6,0,8,1.0,52.0
0.0,69,8,7,6,1.0,66.0
0.0,45,2,2,5,1.0,20.0
0.0,97,7,6,4,1.0,86.0
1.0,41,9,5,5,0.0,38.0
1.0,53,1,9,9,0.0,30.0
1.0,80,8,5,4,0.0,71.0
1.0,57,7,7,7,0.0,49.0
1.0,90,6,3,9,0.0,79.0
1.0,83,6,3,6,0.0,69.0
0.0,70,6,2,4,1.0,56.0
1.0,52,9,0,8,0.0,47.0
0.0,65,2,9,9,1.0,41.0
0.0,83,1,2,7,1.0,58.0
1.0,51,6,0,4,0.0,38.0
1.0,57,8,5,8,0.0,52.0
1.0,48,3,7,9,0.0,25.0
0.0,88,1,2,7,1.0,62.0
1.0,60,9,3,9,0.0,60.0
1.0,87,1,4,4,0.0,63.0
1.0,88,3,6,8,0.0,72.0
0.0,92,8,5,6,1.0,84.0
1.0,95,3,1,7,0.0,74.0
1.0,79,4,6,4,0.0,61.0
0.0,82,8,7,8,1.0,77.0
0.0,63,1,0,6,1.0,36.0
0.0,73,6,5,9,1.0,65.0
1.0,47,1,8,8,0.0,23.0
1.0,83,1,6,6,0.0,60.0
0.0,92,8,4,4,1.0,83.0
1.0,72,4,9,8,0.0,56.0
0.0,62,1,9,8,1.0,37.0
0.0,52,7,8,5,1.0,43.0
0.0,93,5,1,7,1.0,76.0
0.0,92,5,6,8,1.0,83.0
0.0,88,1,8,6,1.0,63.0
1.0,53,6,1,7,0.0,39.0
1.0,53,9,9,4,0.0,48.0
1.0,55,9,5,7,0.0,53.0
1.0,88,8,8,5,0.0,84.0
0.0,77,5,2,4,1.0,63.0
1.0,97,1,7,8,0.0,73.0
0.0,99,9,4,9,1.0,99.0
0.0,78,1,6,4,1.0,52.0
1.0,65,8,2,4,0.0,58.0
0.0,40,3,1,6,1.0,18.0
1.0,71,7,7,4,0.0,62.0
1.0,96,7,1,6,0.0,87.0
1.0,54,9,6,7,0.0,53.0
1.0,91,7,1,9,0.0,87.0
0.0,60,3,6,5,1.0,37.0
0.0,57,1,0,8,1.0,31.0
1.0,69,8,5,4,0.0,63.0
0.0,99,3,9,9,1.0,81.0
0.0,97,8,6,9,1.0,95.0
1.0,52,8,3,6,0.0,45.0
1.0,63,5,0,4,0.0,48.0
0.0,69,1,5,9,1.0,47.0
0.0,41,7,3,5,1.0,31.0
0.0,58,5,2,8,1.0,43.0
1.0,86,8,3,7,0.0,82.0
0.0,83,9,5,7,1.0,80.0
0.0,86,7,4,6,1.0,76.0
1.0,64,7,1,9,0.0,57.0
0.0,89,1,1,7,1.0,64.0
1.0,53,4,2,6,0.0,35.0
1.0,45,2,5,8,0.0,24.0
0.0,51,2,0,4,1.0,30.0
1.0,59,2,6,5,0.0,38.0
1.0,62,4,7,8,0.0,45.0
0.0,69,1,6,8,1.0,44.0
1.0,69,4,2,7,0.0,53.0
0.0,77,2,5,7,1.0,53.0
1.0,97,5,3,5,0.0,84.0
1.0,69,3,4,4,0.0,47.0
0.0,80,8,2,8,1.0,76.0
0.0,69,4,4,9,1.0,57.0
0.0,75,3,5,4,1.0,54.0
1.0,88,9,8,6,0.0,84.0
0.0,73,7,9,4,1.0,62.0
1.0,55,2,9,8,0.0,35.0
0.0,63,9,9,8,1.0,62.0
1.0,53,2,9,5,0.0,30.0
0.0,65,3,3,8,1.0,47.0
1.0,47,2,1,7,0.0,25.0
1.0,53,3,8,9,0.0,40.0
1.0,70,6,2,5,0.0,56.0
1.0,41,9,6,8,0.0,38.0
0.0,87,9,3,4,1.0,86.0
1.0,43,7,0,8,0.0,38.0
0.0,40,3,7,4,1.0,17.0
1.0,94,4,3,4,0.0,75.0
0.0,59,6,5,8,1.0,48.0
1.0,98,5,6,4,0.0,87.0
1.0,53,2,7,9,0.0,32.0
0.0,64,3,1,5,1.0,42.0
0.0,64,2,9,6,1.0,42.0
0.0,42,1,2,4,1.0,18.0
0.0,44,9,0,4,1.0,41.0
1.0,77,3,1,5,0.0,54.0
0.0,93,1,7,6,1.0,67.0
1.0,65,7,9,6,0.0,57.0
0.0,79,5,5,8,1.0,65.0
0.0,77,5,0,4,1.0,62.0
1.0,77,1,8,7,0.0,56.0
0.0,43,9,6,8,1.0,39.0
0.0,46,7,9,8,1.0,38.0
0.0,69,8,2,8,1.0,65.0
0.0,69,9,6,5,1.0,68.0
0.0,95,6,5,5,1.0,82.0
0.0,78,6,7,9,1.0,67.0
1.0,74,2,0,7,0.0,53.0
1.0,79,4,4,6,0.0,61.0
1.0,72,3,7,6,0.0,53.0
1.0,72,7,2,4,0.0,61.0
1.0,53,9,9,6,0.0,49.0
0.0,77,5,5,6,1.0,61.0
1.0,49,6,9,7,0.0,38.0
1.0,96,2,1,6,0.0,76.0
0.0,67,3,8,7,1.0,47.0
1.0,53,3,1,5,0.0,32.0
0.0,75,9,4,7,1.0,71.0
0.0,77,7,2,5,1.0,69.0
1.0,55,8,9,7,0.0,53.0
1.0,99,9,8,8,0.0,100.0
0.0,60,6,8,9,1.0,49.0
0.0,67,4,6,5,1.0,48.0
1.0,72,1,9,5,0.0,45.0
0.0,45,8,4,6,1.0,40.0
1.0,80,7,8,5,0.0,71.0
1.0,54,2,6,7,0.0,34.0
1.0,83,8,1,8,0.0,76.0
1.0,42,5,9,8,0.0,29.0
0.0,82,7,0,6,1.0,71.0
0.0,86,4,9,7,1.0,69.0
1.0,74,5,9,7,0.0,58.0
1.0,53,8,3,4,0.0,43.0
0.0,41,1,9,5,1.0,17.0
0.0,68,1,7,6,1.0,41.0
0.0,43,4,5,8,1.0,27.0
0.0,65,3,1,9,1.0,45.0
0.0,90,2,4,4,1.0,65.0
1.0,51,3,8,7,0.0,31.0
1.0,41,1,5,5,0.0,14.0
1.0,56,1,5,8,0.0,33.0
1.0,74,6,6,4,0.0,60.0
0.0,49,5,4,7,1.0,34.0
0.0,87,8,2,8,1.0,82.0
1.0,61,2,2,8,0.0,40.0
1.0,80,4,4,7,0.0,66.0
0.0,82,8,3,7,1.0,76.0
1.0,60,6,4,6,0.0,46.0
1.0,54,1,8,8,0.0,31.0
0.0,74,4,4,7,1.0,57.0
0.0,87,1,3,9,1.0,65.0
0.0,60,2,3,9,1.0,38.0
1.0,60,5,0,4,0.0,46.0
0.0,60,8,9,5,1.0,53.0
0.0,99,8,3,9,1.0,97.0
1.0,83,3,3,6,0.0,63.0
0.0,71,4,8,7,1.0,55.0
1.0,94,6,3,5,0.0,79.0
1.0,44,3,6,6,0.0,26.0
1.0,78,2,0,8,0.0,55.0
1.0,48,6,6,5,0.0,37.0
0.0,92,5,1,9,1.0,78.0
1.0,57,5,7,6,0.0,45.0
0.0,60,5,0,7,1.0,45.0
0.0,47,5,9,7,1.0,34.0
0.0,83,3,2,6,1.0,66.0
0.0,91,7,7,8,1.0,79.0
0.0,73,6,9,9,1.0,63.0
1.0,49,4,7,6,0.0,32.0
1.0,80,9,4,6,0.0,78.0
1.0,96,1,7,6,0.0,69.0
1.0,63,4,9,9,0.0,46.0
0.0,79,1,4,7,1.0,54.0
0.0,63,6,8,8,1.0,51.0
0.0,95,4,0,6,1.0,78.0
0.0,71,5,4,5,1.0,54.0
1.0,95,5,2,7,0.0,80.0
0.0,72,9,2,7,1.0,67.0
0.0,77,1,1,6,1.0,48.0
1.0,83,2,2,9,0.0,61.0
1.0,96,6,6,5,0.0,83.0
1.0,95,5,7,6,0.0,82.0
1.0,98,3,7,7,0.0,78.0
1.0,88,3,0,5,0.0,70.0
1.0,73,2,6,6,0.0,48.0
0.0,50,3,1,4,1.0,26.0
0.0,70,1,9,4,1.0,46.0
1.0,57,5,3,5,0.0,42.0
0.0,99,7,0,6,1.0,91.0
1.0,61,4,3,8,0.0,47.0
1.0,82,3,3,4,0.0,61.0
1.0,57,1,8,7,0.0,31.0
1.0,79,8,8,6,0.0,71.0
0.0,80,2,0,4,1.0,52.0
1.0,86,4,7,8,0.0,71.0
1.0,78,3,3,7,0.0,60.0
1.0,59,1,3,8,0.0,32.0
0.0,52,3,4,7,1.0,33.0
0.0,84,2,1,4,1.0,56.0
1.0,40,8,0,6,0.0,32.0
1.0,91,6,4,7,0.0,76.0
1.0,43,9,6,6,0.0,40.0
1.0,63,8,9,5,0.0,60.0
0.0,75,3,8,5,1.0,54.0
0.0,75,5,1,4,1.0,59.0
1.0,84,7,7,4,0.0,74.0
0.0,67,8,1,4,1.0,61.0
0.0,65,5,4,5,1.0,50.0
1.0,62,1,6,7,0.0,36.0
1.0,54,5,2,8,0.0,41.0
1.0,75,4,1,4,0.0,60.0
0.0,66,6,5,8,1.0,56.0
0.0,45,3,9,8,1.0,23.0
0.0,74,5,5,5,1.0,63.0
0.0,78,2,3,9,1.0,54.0
1.0,77,6,0,7,0.0,64.0
0.0,74,6,4,5,1.0,64.0
0.0,75,5,0,4,1.0,58.0
0.0,49,6,7,5,1.0,38.0
1.0,69,7,1,5,0.0,60.0
0.0,92,5,8,5,1.0,79.0
0.0,80,1,8,4,1.0,57.0
0.0,77,8,2,4,1.0,69.0
0.0,91,9,8,5,1.0,86.0
1.0,98,6,6,8,0.0,90.0
1.0,82,1,3,7,0.0,57.0
0.0,78,3,2,8,1.0,61.0
1.0,89,3,1,9,0.0,71.0
0.0,43,4,9,7,1.0,30.0
1.0,44,6,9,9,0.0,34.0
1.0,43,7,0,7,0.0,34.0
0.0,75,4,9,5,1.0,58.0
0.0,98,6,0,8,1.0,85.0
1.0,84,1,3,7,0.0,55.0
1.0,55,8,3,9,0.0,51.0
1.0,64,7,8,7,0.0,53.0
0.0,50,3,0,7,1.0,31.0
1.0,68,2,3,5,0.0,44.0
1.0,73,1,2,6,0.0,48.0
0.0,61,3,8,4,1.0,41.0
1.0,53,5,4,6,0.0,40.0
0.0,95,2,8,5,1.0,72.0
0.0,63,3,9,6,1.0,41.0
0.0,98,4,5,7,1.0,78.0
1.0,78,7,8,6,0.0,70.0
0.0,65,3,0,8,1.0,41.0
0.0,82,9,3,5,1.0,78.0
0.0,75,8,3,8,1.0,70.0
1.0,78,4,9,6,0.0,61.0
1.0,55,1,9,8,0.0,33.0
1.0,77,1,9,6,0.0,51.0
0.0,98,1,0,9,1.0,72.0
0.0,71,8,9,8,1.0,69.0
0.0,45,3,4,7,1.0,21.0
1.0,73,6,2,6,0.0,61.0
0.0,95,3,0,9,1.0,76.0
1.0,47,5,5,4,0.0,30.0
1.0,69,7,2,7,0.0,59.0
0.0,46,6,8,7,1.0,39.0
0.0,66,6,1,6,1.0,53.0
1.0,64,3,0,6,0.0,43.0
0.0,95,6,9,5,1.0,85.0
1.0,85,5,5,8,0.0,70.0
0.0,80,2,0,6,1.0,56.0
1.0,54,9,0,4,0.0,52.0
1.0,64,8,6,9,0.0,65.0
1.0,61,3,1,8,0.0,39.0
0.0,57,8,3,5,1.0,48.0
0.0,51,9,3,8,1.0,47.0
0.0,62,3,1,8,1.0,41.0
0.0,90,3,5,6,1.0,72.0
0.0,84,2,9,4,1.0,61.0
1.0,78,8,1,6,0.0,74.0
0.0,64,1,7,4,1.0,38.0
1.0,49,8,3,4,0.0,42.0
0.0,69,7,0,7,1.0,60.0
0.0,73,3,5,5,1.0,52.0
1.0,85,1,5,9,0.0,61.0
0.0,52,4,2,8,1.0,32.0
1.0,93,9,9,7,0.0,95.0
0.0,68,5,6,5,1.0,53.0
1.0,77,1,5,9,0.0,54.0
1.0,84,8,9,6,0.0,78.0
1.0,48,8,8,4,0.0,42.0
0.0,52,5,2,6,1.0,33.0
0.0,76,9,2,9,1.0,75.0
1.0,53,1,3,6,0.0,26.0
0.0,76,4,2,7,1.0,58.0
0.0,47,2,5,9,1.0,29.0
0.0,79,7,1,5,1.0,67.0
0.0,42,2,5,8,1.0,21.0
1.0,94,4,5,4,0.0,74.0
0.0,95,6,0,4,1.0,82.0
1.0,86,3,5,4,0.0,65.0
0.0,79,8,8,8,1.0,75.0
1.0,72,3,7,9,0.0,55.0
1.0,71,2,9,9,0.0,54.0
1.0,46,3,4,8,0.0,26.0
0.0,58,6,3,4,1.0,48.0
1.0,73,2,5,4,0.0,49.0
0.0,53,8,4,5,1.0,49.0
1.0,89,1,5,5,0.0,64.0
1.0,86,7,9,6,0.0,81.0
1.0,85,2,2,7,0.0,64.0
0.0,95,6,6,5,1.0,82.0
0.0,96,2,7,5,1.0,74.0
0.0,58,2,4,5,1.0,32.0
0.0,90,8,4,5,1.0,83.0
0.0,93,2,3,8,1.0,68.0
0.0,98,7,9,6,1.0,90.0
0.0,65,3,4,5,1.0,44.0
1.0,56,8,9,9,0.0,51.0
1.0,93,7,7,7,0.0,86.0
0.0,67,8,4,5,1.0,62.0
0.0,58,7,8,8,1.0,48.0
0.0,66,6,0,9,1.0,56.0
0.0,87,7,6,4,1.0,79.0
0.0,91,5,4,4,1.0,74.0
1.0,96,7,3,6,0.0,82.0
0.0,58,1,2,4,1.0,32.0
0.0,72,1,9,5,1.0,46.0
0.0,90,9,6,8,1.0,88.0
1.0,46,5,1,6,0.0,35.0
1.0,68,5,4,9,0.0,56.0
1.0,94,3,1,5,0.0,74.0
1.0,82,5,6,4,0.0,67.0
0.0,44,3,5,7,1.0,23.0
1.0,69,9,9,5,0.0,67.0
1.0,88,9,6,7,0.0,86.0
1.0,82,6,8,9,0.0,70.0
1.0,95,1,1,7,0.0,68.0
1.0,97,7,8,9,0.0,91.0
0.0,47,7,6,6,1.0,42.0
1.0,81,4,1,8,0.0,62.0
1.0,51,8,9,4,0.0,44.0
1.0,81,6,1,4,0.0,67.0
0.0,52,4,3,5,1.0,35.0
0.0,65,4,1,4,1.0,46.0
0.0,57,2,0,6,1.0,31.0
0.0,81,2,5,4,1.0,59.0
